Running simulation round 1 / 100
User delegation decisions:
[28/100] User 28: Pool 1: 340451.5, Pool 2: 5000.0, Pool 3: 5000.0, Pool 4: 5000.0, Pool 5: 5000.0, Pool 6: 5000.0, Pool 7: 5000.0, Pool 8: 5000.0, Pool 9: 5000.0, Pool 10: 5000.0, Pool 11: 5000.0, Pool 12: 5000.0, Pool 13: 5000.0, Pool 14: 5000.0, Pool 15: 5000.0, Pool 16: 5000.0, Pool 17: 5000.0, Pool 18: 5000.0, Pool 19: 5000.0, Pool 20: 5000.0
[29/100] User 29: Pool 1: 43976.7, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[30/100] User 30: Pool 1: 11091.6, Pool 2: 11091.6, Pool 3: 11091.6, Pool 4: 11091.6, Pool 5: 11091.6, Pool 6: 11091.6, Pool 7: 11091.6, Pool 8: 11091.6, Pool 9: 11091.6, Pool 10: 11091.6, Pool 11: 11091.6, Pool 12: 11091.6, Pool 13: 11091.6, Pool 14: 11091.6, Pool 15: 11091.6, Pool 16: 11091.6, Pool 17: 11091.6, Pool 18: 11091.6, Pool 19: 11091.6, Pool 20: 11091.6
[31/100] User 31: Pool 1: 63984.8, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[32/100] User 32: Pool 1: 12750.7, Pool 2: 12750.7, Pool 3: 12750.7, Pool 4: 12750.7, Pool 5: 12750.7, Pool 6: 12750.7, Pool 7: 12750.7, Pool 8: 12750.7, Pool 9: 12750.7, Pool 10: 12750.7, Pool 11: 12750.7, Pool 12: 12750.7, Pool 13: 12750.7, Pool 14: 12750.7, Pool 15: 12750.7, Pool 16: 12750.7, Pool 17: 12750.7, Pool 18: 12750.7, Pool 19: 12750.7, Pool 20: 12750.7
[33/100] User 33: Pool 1: 11312.2, Pool 2: 11312.2, Pool 3: 11312.2, Pool 4: 11312.2, Pool 5: 11312.2, Pool 6: 11312.2, Pool 7: 11312.2, Pool 8: 11312.2, Pool 9: 11312.2, Pool 10: 11312.2, Pool 11: 11312.2, Pool 12: 11312.2, Pool 13: 11312.2, Pool 14: 11312.2, Pool 15: 11312.2, Pool 16: 11312.2, Pool 17: 11312.2, Pool 18: 11312.2, Pool 19: 11312.2, Pool 20: 11312.2
[34/100] User 34: Pool 1: 3663307.3, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[35/100] User 35: Pool 1: 5679782.4, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[36/100] User 36: Pool 1: 153989.7, Pool 2: 50000.0, Pool 3: 50000.0, Pool 4: 50000.0, Pool 5: 50000.0, Pool 6: 50000.0, Pool 7: 50000.0, Pool 8: 50000.0, Pool 9: 50000.0, Pool 10: 50000.0, Pool 11: 50000.0, Pool 12: 50000.0, Pool 13: 50000.0, Pool 14: 50000.0, Pool 15: 50000.0, Pool 16: 50000.0, Pool 17: 50000.0, Pool 18: 50000.0, Pool 19: 50000.0, Pool 20: 50000.0
[37/100] User 37: Pool 1: 15209.3, Pool 2: 15209.3, Pool 3: 15209.3, Pool 4: 15209.3, Pool 5: 15209.3, Pool 6: 15209.3, Pool 7: 15209.3, Pool 8: 15209.3, Pool 9: 15209.3, Pool 10: 15209.3, Pool 11: 15209.3, Pool 12: 15209.3, Pool 13: 15209.3, Pool 14: 15209.3, Pool 15: 15209.3, Pool 16: 15209.3, Pool 17: 15209.3, Pool 18: 15209.3, Pool 19: 15209.3, Pool 20: 15209.3
[38/100] User 38: Pool 1: 11721.2, Pool 2: 11721.2, Pool 3: 11721.2, Pool 4: 11721.2, Pool 5: 11721.2, Pool 6: 11721.2, Pool 7: 11721.2, Pool 8: 11721.2, Pool 9: 11721.2, Pool 10: 11721.2, Pool 11: 11721.2, Pool 12: 11721.2, Pool 13: 11721.2, Pool 14: 11721.2, Pool 15: 11721.2, Pool 16: 11721.2, Pool 17: 11721.2, Pool 18: 11721.2, Pool 19: 11721.2, Pool 20: 11721.2
[39/100] User 39: Pool 1: 194884.4, Pool 2: 25000.0, Pool 3: 25000.0, Pool 4: 25000.0, Pool 5: 25000.0, Pool 6: 25000.0, Pool 7: 25000.0, Pool 8: 25000.0, Pool 9: 25000.0, Pool 10: 25000.0, Pool 11: 25000.0, Pool 12: 25000.0, Pool 13: 25000.0, Pool 14: 25000.0, Pool 15: 25000.0, Pool 16: 25000.0, Pool 17: 25000.0, Pool 18: 25000.0, Pool 19: 25000.0, Pool 20: 25000.0
[40/100] User 40: Pool 1: 18891.5, Pool 2: 18891.5, Pool 3: 18891.5, Pool 4: 18891.5, Pool 5: 18891.5, Pool 6: 18891.5, Pool 7: 18891.5, Pool 8: 18891.5, Pool 9: 18891.5, Pool 10: 18891.5, Pool 11: 18891.5, Pool 12: 18891.5, Pool 13: 18891.5, Pool 14: 18891.5, Pool 15: 18891.5, Pool 16: 18891.5, Pool 17: 18891.5, Pool 18: 18891.5, Pool 19: 18891.5, Pool 20: 18891.5
